ID,LICENSE ID,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,WARD PRECINCT,POLICE DISTRICT,LICENSE CODE,LICENSE DESCRIPTION,BUSINESS ACTIVITY ID,BUSINESS ACTIVITY,LICENSE NUMBER,APPLICATION TYPE,APPLICATION CREATED DATE,APPLICATION REQUIREMENTS COMPLETE,PAYMENT DATE,CONDITIONAL APPROVAL,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,LICENSE APPROVED FOR ISSUANCE,DATE ISSUED,LICENSE STATUS,LICENSE STATUS CHANGE DATE,SSA,LATITUDE,LONGITUDE,LOCATION,Community Areas,Historical Wards 2003-2015,Zip Codes,Census Tracts,Wards
2215438-20201216,2755898,375289,1,DE LA TORRE AUTO SALES INC.,DE LA TORRE AUTO SALES INC.,7120-7124 S HALSTED ST,CHICAGO,IL,60621,6,42,6-42,7,8340,Motor Vehicle Services License,712,Motor Vehicle Repair -  Engine and Transmission Work,2215438,RENEW,,10/15/2020,11/13/2020,N,12/16/2020,12/15/2022,11/13/2020,11/13/2020,AAI,,,41.764544909,-87.644541813,"(41.76454490870721, -87.6445418133858)",66,31,21559,512,32
2631946-20201116,2753069,432735,1,SITEL ARM CORP.,SITEL ARM CORP.,600  BRICKELL AVE.   3200,MIAMI,FL,33131,,,,,4404,Regulated Business License,912,Debt Collecting - Administrative Commercial Office,2631946,RENEW,,09/15/2020,11/13/2020,N,11/16/2020,11/15/2022,11/13/2020,11/13/2020,AAI,,,,,,,,,,
2601093-20200616,2727894,427963,1,"Energy Resource Specialist, Inc",Energy Resource Roofing,1013 N FIRST ST,CHILLICOTHE,IL,61523,,,,,1010,Limited Business License,914,Roof Repair and Installation,2601093,RENEW,,04/15/2020,11/12/2020,N,06/16/2020,06/15/2022,11/12/2020,11/13/2020,AAI,,,,,,,,,,
1478387-20201116,2751161,273724,1,"CTA FOODS, INC.",MUNICIPAL FOODS,2559 W DIVISION ST,CHICAGO,IL,60622,26,41,26-41,12,1474,Package Goods,774,Retail Sales of Packaged Liquor,1478387,RENEW,,09/15/2020,10/08/2020,N,11/16/2020,11/15/2022,10/08/2020,11/13/2020,AAI,,,41.902859234,-87.691888584,"(41.90285923421055, -87.69188858431286)",25,10,21560,542,49
2627621-20201216,2756784,431942,1,CENVEO WORLDWIDE LIMITED,CENVEO WORLDWIDE LIMITED,3001 N ROCKWELL ST,CHICAGO,IL,60618,33,5,33-5,14,1009,Manufacturing Establishments,739,"Printing Activities, Metal Processing",2627621,RENEW,,10/15/2020,11/12/2020,N,12/16/2020,12/15/2022,11/12/2020,11/13/2020,AAI,,,41.935845382,-87.692695998,"(41.93584538238736, -87.69269599838543)",22,24,21538,467,20
2595174-20200416,2717321,426346,1,HOSPITALITY 201 LLC,HOSPITALITY 201 LLC,744 N DAMEN AVE 1ST B,CHICAGO,IL,60622,1,32,1-32,12,1006,Retail Food Establishment,760,Retail Sale of Food for Offsite Consumption,2595174,RENEW,,02/15/2020,10/16/2020,N,04/16/2020,04/15/2022,10/16/2020,11/13/2020,AAI,,29,41.895428997,-87.677185287,"(41.89542899660331, -87.67718528705265)",25,24,21560,547,41
2203495-20201216,2755991,377709,1,"HOVEY ENERGY, LLC","HOVEY ENERGY, LLC",4000 N LINCOLN AVE 2ND,CHICAGO,IL,60618,47,35,47-35,19,1010,Limited Business License,,,2203495,RENEW,,10/15/2020,11/12/2020,N,12/16/2020,12/15/2022,11/12/2020,11/13/2020,AAI,,38,41.954124675,-87.678897477,"(41.954124674803445, -87.67889747723761)",46,13,21538,613,18
2359449-20201216,2756071,393836,1,"CO CO VIETNAMESE SANDWICHES, INC.","CO CO VIETNAMESE SANDWICHES, INC.",1613-1615 W LAWRENCE AVE 1ST,CHICAGO,IL,60640,47,31,47-31,19,1006,Retail Food Establishment,781,Sale of Food Prepared Onsite With Dining Area,2359449,RENEW,,10/15/2020,11/13/2020,N,12/16/2020,12/15/2022,11/13/2020,11/13/2020,AAI,,31,41.968765065,-87.670017826,"(41.96876506502919, -87.6700178263733)",31,13,22616,559,18
2704076-20201113,2704076,464153,1,"VERVE WINE CHICAGO, LLC",VERVE WINE,2349 N LINCOLN AVE 1 A-1-130,CHICAGO,IL,60614,43,29,43-29,18,1475,Consumption on Premises - Incidental Activity,638,Consumption of Liquor on Premises,2704076,ISSUE,12/04/2019,11/02/2020,12/17/2019,Y,11/13/2020,11/15/2022,11/13/2020,11/13/2020,AAI,,35,41.924818603,-87.647671335,"(41.92481860342548, -87.64767133453772)",68,51,21190,798,34
2595173-20201016,2748406,426346,1,HOSPITALITY 201 LLC,HOSPITALITY 201 LLC,744 N DAMEN AVE 1ST B,CHICAGO,IL,60622,1,32,1-32,12,1481,Caterer's Liquor License,630,Catering of Liquor To Events,2595173,RENEW,,08/15/2020,10/16/2020,N,10/16/2020,04/15/2022,10/16/2020,11/13/2020,AAI,,29,41.895428997,-87.677185287,"(41.89542899660331, -87.67718528705265)",25,24,21560,547,41
